student-ID,course-id,roll no,email ID,grade
SID1033,CSE016,CRPC2ZW9,crpc2zw9@university.edu,A
SID1310,CSE020,NKGLHBUG,nkglhbug@university.edu,B
SID1132,CSE004,IQ3QMIZL,iq3qmizl@university.edu,C
SID1378,CSE018,O7QFVVVO,o7qfvvvo@university.edu,C
SID1428,CSE014,KOGTE7P5,kogte7p5@university.edu,D
SID1403,CSE006,7N8LSGWG,7n8lsgwg@university.edu,A
SID1156,CSE001,XAEBKUW3,xaebkuw3@university.edu,B
SID1081,CSE016,D1SGWJ3W,d1sgwj3w@university.edu,C
SID1190,CSE017,528E329B,528e329b@university.edu,C
SID1352,CSE016,XVO16U4B,xvo16u4b@university.edu,B
SID1994,CSE018,DON1LUES,don1lues@university.edu,B
SID1488,CSE003,1HDDV29D,1hddv29d@university.edu,B
SID1469,CSE006,OR8VBOCL,or8vbocl@university.edu,F
SID1559,CSE003,ULCTH1Z1,ulcth1z1@university.edu,E
SID1291,CSE004,GW3QY6JP,gw3qy6jp@university.edu,B
SID1093,CSE003,TUYF5WVP,tuyf5wvp@university.edu,C
SID1884,CSE001,A7CY2VYH,a7cy2vyh@university.edu,C
SID1247,CSE003,3IPELKOM,3ipelkom@university.edu,B
SID1131,CSE007,W5TL9UDK,w5tl9udk@university.edu,E
SID1310,CSE013,MOPZ4V1Q,mopz4v1q@university.edu,F
SID1340,CSE007,LXIU30Y9,lxiu30y9@university.edu,E
SID1632,CSE002,IVHLN4OI,ivhln4oi@university.edu,C
SID1775,CSE004,K80ZSEBV,k80zsebv@university.edu,F
SID1514,CSE020,3XKKIDY7,3xkkidy7@university.edu,F
SID1031,CSE003,RB3TAYS0,rb3tays0@university.edu,F
SID1148,CSE014,T4TBB21V,t4tbb21v@university.edu,B
SID1431,CSE009,XRO6902H,xro6902h@university.edu,B
SID1071,CSE011,5JW8IBHR,5jw8ibhr@university.edu,C
SID1998,CSE011,CJ48WKL3,cj48wkl3@university.edu,E
SID1345,CSE016,W3WTASSW,w3wtassw@university.edu,C
SID1987,CSE013,S1HDOA0F,s1hdoa0f@university.edu,E
SID1113,CSE006,LHMY46PG,lhmy46pg@university.edu,A
SID1727,CSE008,9WX5L7TR,9wx5l7tr@university.edu,B
SID1281,CSE013,98GGATKI,98ggatki@university.edu,A
SID1226,CSE001,TS5FMQWV,ts5fmqwv@university.edu,B
SID1014,CSE003,52ITM0U2,52itm0u2@university.edu,B
SID1639,CSE001,0HO0B8H7,0ho0b8h7@university.edu,E
SID1115,CSE009,HB9Z6P1C,hb9z6p1c@university.edu,A
SID1398,CSE007,TJPBEK7H,tjpbek7h@university.edu,D
SID1969,CSE009,JYF5UWB9,jyf5uwb9@university.edu,D
SID1525,CSE013,3F2KXML6,3f2kxml6@university.edu,E
SID1329,CSE001,VESB3M1D,vesb3m1d@university.edu,F
SID1558,CSE010,99KXBTKE,99kxbtke@university.edu,E
SID1537,CSE009,5BG2EKRK,5bg2ekrk@university.edu,A
SID1522,CSE019,Q526DC4V,q526dc4v@university.edu,F
SID1231,CSE019,2B1LW21I,2b1lw21i@university.edu,F
SID1050,CSE005,9WHQB092,9whqb092@university.edu,D
SID1471,CSE018,NZFTVPLS,nzftvpls@university.edu,C
SID1676,CSE002,72EI9UT6,72ei9ut6@university.edu,E
SID1858,CSE016,XKONBOXW,xkonboxw@university.edu,B
SID1770,CSE004,9LNGJIQA,9lngjiqa@university.edu,E
SID1391,CSE010,426C3S68,426c3s68@university.edu,F
SID1868,CSE013,NN9PIZZ0,nn9pizz0@university.edu,C
SID1102,CSE013,WHKRCA0S,whkrca0s@university.edu,D
SID1590,CSE001,RKI18V8D,rki18v8d@university.edu,D
SID1697,CSE016,ICBQNRTS,icbqnrts@university.edu,E
SID1880,CSE001,M0I6N9ZD,m0i6n9zd@university.edu,A
SID1298,CSE019,7Z450K13,7z450k13@university.edu,B
SID1965,CSE004,0FI20Q0N,0fi20q0n@university.edu,D
SID1092,CSE007,FQTJ5T0X,fqtj5t0x@university.edu,B
SID1208,CSE006,44BPM107,44bpm107@university.edu,C
SID1108,CSE011,12W3K6B3,12w3k6b3@university.edu,C
SID1472,CSE010,07MT3JRK,07mt3jrk@university.edu,A
SID1670,CSE013,XOVFNBMI,xovfnbmi@university.edu,B
SID1703,CSE003,UWLQKL13,uwlqkl13@university.edu,A
SID1701,CSE018,W7G4F10D,w7g4f10d@university.edu,F
SID1228,CSE007,W7WFVFHZ,w7wfvfhz@university.edu,C
SID1136,CSE020,DGNTRWLX,dgntrwlx@university.edu,A
SID1630,CSE008,S6PBJ5C6,s6pbj5c6@university.edu,E
SID1509,CSE010,UXP7SK6W,uxp7sk6w@university.edu,B
SID1074,CSE002,WNW21K09,wnw21k09@university.edu,A
SID1183,CSE008,T5H9LSR9,t5h9lsr9@university.edu,E
SID1640,CSE014,BDLJ8BR8,bdlj8br8@university.edu,A
SID1841,CSE013,7AT47VOJ,7at47voj@university.edu,C
SID1497,CSE013,SCP4E4QS,scp4e4qs@university.edu,D
SID1804,CSE009,V9P8G4BS,v9p8g4bs@university.edu,A
SID1128,CSE018,5CM1H8D3,5cm1h8d3@university.edu,A
SID1368,CSE009,QI8GZYHU,qi8gzyhu@university.edu,E
SID1596,CSE001,XH6PM1BN,xh6pm1bn@university.edu,F
SID1394,CSE001,7ZA3GGWG,7za3ggwg@university.edu,D
SID1094,CSE009,YQ74H033,yq74h033@university.edu,C
SID1362,CSE019,DOG8YNVP,dog8ynvp@university.edu,F
SID1361,CSE004,178WNTDZ,178wntdz@university.edu,B
SID1611,CSE020,JVGR04OO,jvgr04oo@university.edu,C
SID1099,CSE002,QL1SO3Z2,ql1so3z2@university.edu,B
SID1073,CSE011,MRTBS0PF,mrtbs0pf@university.edu,D
SID1962,CSE018,B2INL9CL,b2inl9cl@university.edu,D
SID1368,CSE012,7UABN8HS,7uabn8hs@university.edu,A
SID1390,CSE004,VKCS20NG,vkcs20ng@university.edu,D
SID1251,CSE017,R80KACP6,r80kacp6@university.edu,F
SID1517,CSE018,53V9YZRH,53v9yzrh@university.edu,F
SID1367,CSE013,51235EQR,51235eqr@university.edu,C
SID1202,CSE003,9A38Y76D,9a38y76d@university.edu,C
SID1148,CSE019,X6Q5HHLH,x6q5hhlh@university.edu,B
SID1299,CSE004,NM0MVEI2,nm0mvei2@university.edu,D
SID1197,CSE018,C8V0RWGD,c8v0rwgd@university.edu,A
SID1452,CSE001,6LC9USHI,6lc9ushi@university.edu,B
SID1569,CSE004,ZS89TBWZ,zs89tbwz@university.edu,E
SID1996,CSE002,4QWGCP3O,4qwgcp3o@university.edu,E
SID1577,CSE018,HQXWQ4BL,hqxwq4bl@university.edu,D
SID1515,CSE003,045RLYNM,045rlynm@university.edu,C
SID1252,CSE013,5P69EDA9,5p69eda9@university.edu,C
SID1211,CSE015,R0KHOUW1,r0khouw1@university.edu,B
SID1605,CSE015,X3LALZIE,x3lalzie@university.edu,E
SID1989,CSE002,AUC14RBF,auc14rbf@university.edu,E
SID1016,CSE004,QRCJHH34,qrcjhh34@university.edu,E
SID1805,CSE017,WMOX21DF,wmox21df@university.edu,C
SID1226,CSE005,Y0KBA28E,y0kba28e@university.edu,C
SID1948,CSE011,K7HY1KIC,k7hy1kic@university.edu,C
SID1629,CSE014,QDXB869C,qdxb869c@university.edu,D
SID1873,CSE004,DE24P1HH,de24p1hh@university.edu,F
SID1249,CSE007,KY0EZYH3,ky0ezyh3@university.edu,A
SID1162,CSE016,JX51ID1J,jx51id1j@university.edu,E
SID1528,CSE004,49QPCQ9G,49qpcq9g@university.edu,F
SID1659,CSE013,UM7CDR38,um7cdr38@university.edu,D
SID1536,CSE013,QGS5M0SO,qgs5m0so@university.edu,B
SID1361,CSE016,3CFGU24K,3cfgu24k@university.edu,E
SID1717,CSE008,D8S2WZYO,d8s2wzyo@university.edu,A
SID1468,CSE004,TWD858BP,twd858bp@university.edu,D
SID1220,CSE011,U3OY90ZQ,u3oy90zq@university.edu,E
SID1020,CSE017,06ARO2XM,06aro2xm@university.edu,B
SID1901,CSE001,HU05ENUU,hu05enuu@university.edu,D
SID1198,CSE009,7JHBA9F8,7jhba9f8@university.edu,A
SID1309,CSE020,CM4AG453,cm4ag453@university.edu,D
SID1626,CSE003,E4RCKFYI,e4rckfyi@university.edu,D
SID1003,CSE009,THAULPJE,thaulpje@university.edu,D
SID1930,CSE012,62H2ENXI,62h2enxi@university.edu,E
SID1055,CSE016,EDHTJWIC,edhtjwic@university.edu,A
SID1985,CSE013,27BOQV7N,27boqv7n@university.edu,B
SID1873,CSE008,EPIEH43Q,epieh43q@university.edu,A
SID1888,CSE006,3Z9DGYKM,3z9dgykm@university.edu,B
SID1917,CSE008,LR0UZ4RB,lr0uz4rb@university.edu,B
SID1278,CSE001,V29LD5MI,v29ld5mi@university.edu,F
SID1828,CSE009,Q6FHMCDQ,q6fhmcdq@university.edu,D
SID1377,CSE015,EWZR47ZC,ewzr47zc@university.edu,A
SID1314,CSE014,DK7HJBAP,dk7hjbap@university.edu,F
SID1079,CSE020,2VWYZZBD,2vwyzzbd@university.edu,C
SID1299,CSE016,IOFJXOUV,iofjxouv@university.edu,B
SID1227,CSE006,V3I1PHUB,v3i1phub@university.edu,E
SID1014,CSE012,TEGX350I,tegx350i@university.edu,C
SID1764,CSE019,PN1ATO5M,pn1ato5m@university.edu,C
SID1193,CSE007,HDRYWIGB,hdrywigb@university.edu,A
SID1504,CSE009,FUD1DL68,fud1dl68@university.edu,D
SID1919,CSE012,QYAQKS0Y,qyaqks0y@university.edu,B
SID1439,CSE007,MCUBPPAC,mcubppac@university.edu,C
SID1771,CSE018,RUNPOHS4,runpohs4@university.edu,B
SID1829,CSE005,KOVCNI9B,kovcni9b@university.edu,F
SID1680,CSE005,JR9EZ7SM,jr9ez7sm@university.edu,D
SID1736,CSE005,A6KPXW7I,a6kpxw7i@university.edu,E
SID1123,CSE014,MFO77C9H,mfo77c9h@university.edu,A
SID1925,CSE014,L91Y1R7F,l91y1r7f@university.edu,D
SID1849,CSE008,UPAYAL1D,upayal1d@university.edu,D
SID1043,CSE017,QB2VS9IW,qb2vs9iw@university.edu,B
SID1361,CSE019,6ITQBGFU,6itqbgfu@university.edu,C
SID1384,CSE002,F7QIUO9E,f7qiuo9e@university.edu,A
SID1782,CSE003,U1YADBEZ,u1yadbez@university.edu,D
SID1386,CSE008,O0LASF6I,o0lasf6i@university.edu,F
SID1370,CSE012,OUYSSBZX,ouyssbzx@university.edu,C
SID1161,CSE001,TU1EB6UN,tu1eb6un@university.edu,A
SID1377,CSE004,MVFXBW95,mvfxbw95@university.edu,D
SID1228,CSE015,ZRC3NWHR,zrc3nwhr@university.edu,D
SID1550,CSE008,ACWZJUFJ,acwzjufj@university.edu,E
SID1025,CSE011,WOAEZNCK,woaeznck@university.edu,E
SID1616,CSE004,HQQOKCE3,hqqokce3@university.edu,A
